Source_File     ID    Size  Total_Amp 
---------------------------------------------
hits_1.txt      0     1     40.25
hits_1.txt      1     1     23.78
hits_1.txt      2     1     4.45
hits_1.txt      3     1     26.93
hits_1.txt      4     2     27.14
hits_1.txt      5     1     20.30
hits_1.txt      6     1     26.42
hits_1.txt      7     1     32.78
hits_1.txt      8     1     36.08
hits_1.txt      9     1     23.36
hits_1.txt      10    2     35.74
hits_2.txt      0     1     23.34
hits_2.txt      1     1     23.02
hits_2.txt      2     2     28.65
hits_2.txt      3     1     26.46
hits_2.txt      4     3     23.14
hits_2.txt      5     1     34.24
hits_2.txt      6     1     21.92
hits_2.txt      7     2     24.34
hits_2.txt      8     1     20.82
hits_2.txt      9     1     25.79
hits_3.txt      0     1     21.65
hits_3.txt      1     1     22.85
hits_3.txt      2     1     24.94
hits_3.txt      3     1     29.40
hits_3.txt      4     2     19.95
hits_3.txt      5     1     24.80
hits_3.txt      6     1     22.64
hits_3.txt      7     1     22.78
hits_3.txt      8     2     28.22
hits_3.txt      9     1     23.26
hits_4.txt      0     2     30.37
hits_4.txt      1     2     28.75
hits_4.txt      2     1     28.36
hits_4.txt      3     1     24.84
hits_4.txt      4     1     23.44
hits_4.txt      5     2     31.34
hits_4.txt      6     6     104.84
hits_4.txt      7     1     29.02
hits_4.txt      8     1     22.49
hits_4.txt      9     2     27.61
hits_5.txt      0     1     37.20
hits_5.txt      1     2     22.40
hits_5.txt      2     1     25.65
hits_5.txt      3     2     43.33
hits_5.txt      4     2     42.68
hits_5.txt      5     2     31.54
hits_5.txt      6     1     26.68
hits_5.txt      7     1     28.22
hits_5.txt      8     1     29.85
hits_5.txt      9     1     23.58
hits_6.txt      0     1     28.49
hits_6.txt      1     1     25.24
hits_6.txt      2     2     51.67
hits_6.txt      3     1     29.50
hits_6.txt      4     2     26.59
hits_6.txt      5     1     22.16
hits_6.txt      6     1     22.74
hits_6.txt      7     3     45.25
hits_6.txt      8     2     21.02
hits_6.txt      9     1     24.97
hits_7.txt      0     1     21.78
hits_7.txt      1     16    645.68
hits_7.txt      2     16    738.37
hits_7.txt      3     1     28.45
hits_7.txt      4     1     21.89
hits_7.txt      5     2     21.55
hits_7.txt      6     1     25.93
hits_7.txt      7     1     20.29
hits_7.txt      8     1     21.36
hits_7.txt      9     1     28.35
hits_7.txt      10    1     21.80
hits_8.txt      0     2     27.04
hits_8.txt      1     2     40.38
hits_8.txt      2     1     24.55
hits_8.txt      3     1     27.06
hits_8.txt      4     2     22.51
hits_8.txt      5     2     25.92
hits_8.txt      6     2     24.50
hits_8.txt      7     1     28.97
