Source_File     ID    Size  Total_Amp 
---------------------------------------------
hits_1.txt      0     1     26.18
hits_1.txt      1     2     36.13
hits_1.txt      2     1     22.45
hits_1.txt      3     1     21.19
hits_1.txt      4     2     24.68
hits_1.txt      5     2     29.79
hits_1.txt      6     3     49.50
hits_1.txt      7     2     26.45
hits_1.txt      8     1     37.83
hits_1.txt      9     2     26.65
hits_2.txt      0     2     32.43
hits_2.txt      1     2     29.77
hits_2.txt      2     1     29.14
hits_2.txt      3     2     21.63
hits_2.txt      4     2     25.91
hits_2.txt      5     2     21.87
hits_2.txt      6     2     22.44
hits_2.txt      7     2     21.12
hits_2.txt      8     1     25.25
hits_2.txt      9     1     27.93
hits_3.txt      0     2     24.02
hits_3.txt      1     1     31.41
hits_3.txt      2     1     32.04
hits_3.txt      3     1     23.11
hits_3.txt      4     1     23.19
hits_3.txt      5     1     30.47
hits_3.txt      6     1     27.97
hits_3.txt      7     2     28.30
hits_3.txt      8     2     25.40
hits_3.txt      9     2     26.26
hits_4.txt      0     2     36.30
hits_4.txt      1     1     22.18
hits_4.txt      2     1     26.33
hits_4.txt      3     4     25.23
hits_4.txt      4     3     38.15
hits_4.txt      5     7     44.60
hits_4.txt      6     2     27.79
hits_4.txt      7     2     37.20
hits_4.txt      8     2     23.39
hits_4.txt      9     1     30.89
hits_5.txt      0     3     24.13
hits_5.txt      1     1     26.94
hits_5.txt      2     1     31.49
hits_5.txt      3     1     22.60
hits_5.txt      4     1     19.93
hits_5.txt      5     1     31.64
hits_5.txt      6     1     22.80
hits_5.txt      7     1     22.28
hits_5.txt      8     2     20.01
hits_5.txt      9     1     22.27
hits_6.txt      0     1     23.20
hits_6.txt      1     1     23.76
hits_6.txt      2     1     26.27
hits_6.txt      3     2     51.21
hits_6.txt      4     1     30.88
hits_6.txt      5     4     23.39
hits_6.txt      6     1     24.07
hits_6.txt      7     1     20.72
hits_6.txt      8     2     26.04
hits_6.txt      9     2     23.29
hits_7.txt      0     2     23.24
hits_7.txt      1     2     25.32
hits_7.txt      2     3     20.89
hits_7.txt      3     1     22.07
hits_7.txt      4     2     18.93
hits_7.txt      5     1     35.13
hits_7.txt      6     1     32.58
hits_7.txt      7     4     28.03
hits_7.txt      8     1     29.35
hits_7.txt      9     2     30.12
hits_8.txt      0     2     19.16
hits_8.txt      1     1     31.25
hits_8.txt      2     3     50.41
hits_8.txt      3     1     20.07
hits_8.txt      4     2     20.05
hits_8.txt      5     2     18.74
hits_8.txt      6     2     22.83
hits_8.txt      7     2     24.18
hits_8.txt      8     1     27.84
hits_8.txt      9     1     19.84
hits_9.txt      0     1     26.08
hits_9.txt      1     2     23.84
hits_9.txt      2     2     28.64
hits_9.txt      3     2     25.61
hits_9.txt      4     3     50.68
hits_9.txt      5     2     44.44
hits_9.txt      6     2     19.81
hits_9.txt      7     2     38.60
hits_9.txt      8     1     22.19
hits_9.txt      9     4     39.91
hits_10.txt     0     1     25.11
hits_10.txt     1     1     22.06
hits_10.txt     2     2     27.11
hits_10.txt     3     3     33.60
hits_10.txt     4     1     26.78
hits_10.txt     5     1     32.57
hits_10.txt     6     2     38.31
hits_10.txt     7     2     23.12
hits_10.txt     8     1     22.76
hits_10.txt     9     1     21.87
hits_11.txt     0     2     20.99
hits_11.txt     1     2     22.81
hits_11.txt     2     1     35.49
hits_11.txt     3     5     81.30
hits_11.txt     4     2     26.70
hits_11.txt     5     1     22.03
hits_11.txt     6     1     32.59
hits_11.txt     7     1     21.40
hits_11.txt     8     2     23.82
hits_11.txt     9     1     23.95
hits_12.txt     0     4     19.32
hits_12.txt     1     2     29.92
hits_12.txt     2     2     26.90
hits_12.txt     3     1     19.73
hits_12.txt     4     2     21.14
hits_12.txt     5     6     74.47
hits_12.txt     6     1     24.19
hits_12.txt     7     1     23.82
hits_12.txt     8     3     21.15
hits_13.txt     0     3     33.24
hits_13.txt     1     9     2654.20
hits_13.txt     2     1     33.32
hits_13.txt     3     1     25.80
hits_13.txt     4     1     22.00
hits_13.txt     5     3     67.96
hits_13.txt     6     1     24.35
hits_13.txt     7     1     26.90
hits_13.txt     8     2     29.63
hits_13.txt     9     1     31.92
hits_13.txt     10    1     18.90
hits_14.txt     0     2     32.81
hits_14.txt     1     2     23.72
hits_14.txt     2     1     18.75
hits_14.txt     3     2     27.13
hits_14.txt     4     1     26.02
hits_14.txt     5     2     23.25
hits_14.txt     6     1     26.06
hits_14.txt     7     3     35.76
hits_14.txt     8     2     25.79
hits_14.txt     9     3     44.27
hits_15.txt     0     1     41.24
hits_15.txt     1     1     28.71
hits_15.txt     2     1     22.62
hits_15.txt     3     1     36.80
hits_15.txt     4     2     24.15
hits_15.txt     5     1     24.88
hits_15.txt     6     1     20.55
hits_15.txt     7     1     21.44
hits_15.txt     8     1     20.16
hits_15.txt     9     3     34.90
hits_16.txt     0     2     19.51
hits_16.txt     1     1     21.40
hits_16.txt     2     3     29.29
hits_16.txt     3     2     27.58
hits_16.txt     4     1     27.00
hits_16.txt     5     14    142.66
hits_16.txt     6     2     37.75
hits_16.txt     7     1     20.59
hits_16.txt     8     1     20.85
hits_16.txt     9     3     29.87
hits_17.txt     0     1     31.05
hits_17.txt     1     2     22.03
hits_17.txt     2     1     33.32
hits_17.txt     3     2     24.32
hits_17.txt     4     2     23.28
hits_17.txt     5     2     31.58
hits_17.txt     6     2     17.91
hits_17.txt     7     1     27.67
hits_17.txt     8     2     21.26
hits_17.txt     9     1     25.72
hits_18.txt     0     4     84.83
hits_18.txt     1     2     23.45
hits_18.txt     2     2     34.23
hits_18.txt     3     2     27.76
hits_18.txt     4     1     29.33
hits_18.txt     5     2     22.79
hits_18.txt     6     2     42.94
hits_18.txt     7     1     20.09
hits_18.txt     8     3     29.46
hits_18.txt     9     1     25.58
hits_19.txt     0     1     42.00
hits_19.txt     1     2     37.69
hits_19.txt     2     1     28.15
hits_19.txt     3     1     24.69
hits_19.txt     4     2     25.02
hits_19.txt     5     1     38.54
hits_19.txt     6     1     22.19
hits_19.txt     7     1     21.03
hits_19.txt     8     8     88.59
hits_19.txt     9     1     32.69
hits_19.txt     10    4     14.24
hits_19.txt     11    2     25.49
hits_20.txt     0     1     23.29
hits_20.txt     1     2     25.77
hits_20.txt     2     2     34.85
hits_20.txt     3     2     25.12
hits_20.txt     4     2     26.89
hits_20.txt     5     2     28.89
hits_20.txt     6     2     21.08
hits_20.txt     7     2     43.53
hits_20.txt     8     2     26.56
hits_20.txt     9     2     44.49
hits_21.txt     0     1     36.46
hits_21.txt     1     2     25.07
hits_21.txt     2     2     25.18
hits_21.txt     3     2     31.88
hits_21.txt     4     1     24.86
hits_21.txt     5     1     23.02
hits_21.txt     6     1     23.89
hits_21.txt     7     1     24.71
hits_21.txt     8     2     22.10
hits_21.txt     9     2     39.11
hits_22.txt     0     1     24.09
hits_22.txt     1     2     49.45
hits_22.txt     2     1     24.92
hits_22.txt     3     1     19.58
hits_22.txt     4     1     29.77
hits_22.txt     5     1     20.31
hits_22.txt     6     2     23.13
hits_22.txt     7     1     26.74
hits_22.txt     8     4     31.19
hits_22.txt     9     2     28.33
hits_23.txt     0     1     20.59
hits_23.txt     1     2     25.27
hits_23.txt     2     2     23.68
hits_23.txt     3     2     25.13
hits_23.txt     4     1     21.82
hits_23.txt     5     1     29.16
hits_23.txt     6     1     27.37
hits_23.txt     7     1     23.24
hits_23.txt     8     1     19.87
hits_23.txt     9     2     26.31
hits_24.txt     0     2     21.41
hits_24.txt     1     1     20.27
hits_24.txt     2     1     23.32
hits_24.txt     3     6     51.56
hits_24.txt     4     1     19.60
hits_24.txt     5     2     25.52
hits_24.txt     6     2     29.25
hits_24.txt     7     2     21.04
hits_24.txt     8     2     20.52
hits_24.txt     9     2     35.30
hits_25.txt     0     2     24.79
hits_25.txt     1     1     26.72
hits_25.txt     2     1     38.70
hits_25.txt     3     2     24.23
hits_25.txt     4     1     30.24
hits_25.txt     5     2     21.86
hits_25.txt     6     1     30.36
hits_25.txt     7     1     21.39
hits_25.txt     8     1     20.25
hits_25.txt     9     2     21.18
hits_26.txt     0     1     26.13
hits_26.txt     1     1     24.23
hits_26.txt     2     1     24.72
hits_26.txt     3     3     21.46
hits_26.txt     4     1     45.99
hits_26.txt     5     1     27.03
hits_26.txt     6     1     20.26
hits_26.txt     7     1     20.37
hits_26.txt     8     3     53.69
hits_26.txt     9     3     21.57
hits_27.txt     0     5     87.80
hits_27.txt     1     1     67.89
hits_27.txt     2     1     24.17
hits_27.txt     3     2     30.83
hits_27.txt     4     1     26.66
hits_27.txt     5     5     65.42
hits_27.txt     6     1     23.29
hits_27.txt     7     1     20.20
hits_27.txt     8     1     23.86
hits_27.txt     9     1     19.05
hits_27.txt     10    1     29.89
hits_28.txt     0     2     22.71
hits_28.txt     1     2     23.78
hits_28.txt     2     1     27.02
hits_28.txt     3     1     27.16
hits_28.txt     4     1     24.05
hits_28.txt     5     3     26.19
hits_28.txt     6     1     30.13
hits_28.txt     7     2     24.81
hits_28.txt     8     1     28.63
hits_28.txt     9     1     23.95
hits_29.txt     0     2     32.64
hits_29.txt     1     4     31.12
hits_29.txt     2     1     20.75
hits_29.txt     3     4     25.25
hits_29.txt     4     7     96.25
hits_29.txt     5     1     30.75
hits_29.txt     6     1     44.28
hits_29.txt     7     1     25.32
hits_29.txt     8     2     25.07
hits_29.txt     9     1     22.71
hits_30.txt     0     1     29.44
hits_30.txt     1     1     22.99
hits_30.txt     2     3     28.24
hits_30.txt     3     1     38.86
hits_30.txt     4     1     21.53
hits_30.txt     5     2     25.92
hits_30.txt     6     1     22.71
hits_30.txt     7     2     23.17
hits_30.txt     8     1     24.52
hits_30.txt     9     4     22.56
hits_31.txt     0     1     20.77
hits_31.txt     1     3     27.09
hits_31.txt     2     1     21.08
hits_31.txt     3     1     25.77
hits_31.txt     4     2     19.75
hits_31.txt     5     2     41.49
hits_31.txt     6     1     19.97
hits_31.txt     7     1     41.30
hits_31.txt     8     1     32.99
